сокращение,﻿abbreviation
"единственный в своем роде, уникальный",unique
"единственно в своем роде, уникально",uniquely
"если не, пока не",unless
"отпирать, открывать",unlock
распаковывать,unpack
невосстанавливаемый,unrecoverable
"несвязанный, не имеющий отношения",unrelated
неподходящий,unsuitable
1. до; 2. до тех пор пока (не),until
негодный к употреблению,unusable
указывает на нахождение наверху или на подъем наверх,up
"модернизировать, приводить в соответствие с требованиями ",update
верхний регистр ,uppercase
годный к употреблению ,usable
употребление ,usage
"применение, использование ",use
"1) потребитель; 2) пользователь,дресат",user
"1) полезность; 2) полезная вещь; 3) обслу­живающая программа, утилита",utility
"1) самый отдаленный; 2) крайний, предель­ный",utmost
"действительный, имеющий силу",valid
"менять(ся), изменять(ся)",vary
"1) версия, вариант; 2) перевод, текст",version
"1) проверять, контролировать; 2) сверять тек­сты",verify
"1. вид, просмотр, обзор; 2. обозревать",view
"1) фактический, действительный; 2) возмож­ный, виртуальный, предполагаемый",virtual
"1) том, книга; 2) объем, масса; 3) сила, пол­нота (звука)",volume
"ждать, ожидать",wait
"предупреждение, предостережение",warning
"1) путь, дорога; 2) метод, образ действия",way
"гостеприимство, приветствие",welcome
что? какой?,what
что бы ни; какой бы ни,whatever
когда,when
когда бы ни,whenever
где? куда?,where
"в то время как, когда",while
"целый, полный",whole
знак с неопределенным значением,wildcard
"1) указывает на связь, совместность - с; 2) указывает на предмет действия или орудие",with
"1) указывает на нахождение внутри како­го-то предмета или пространства - в, внутри; 2) указыва­ет на ограничение опр. пределами в пределах, в рамках",within
без,without
"1. запись; 2. 1) писать, записы­вать; 2) вводить информацию",write
"1) писание, запись; 2) документ, документация",writing
год,year
"вы, вас, вам, вами",you
"ваш, Ваш, твой",your
"1. нуль, ничто; 2. нулевой",zero
